Num;Old_Num;MOTS_AR;MOTS_fr;DESIGNATION;DESIGNATION_fr;chairdappartenance;Sous_Chapitre
56;54;الاستعلام الاستباقي;Renseignement d’anticipation;يتمثل في مجمل المعلومات المتحصل عليها التي تمكن من وضع توقعات مستقبلية، بالاعتماد على المواقف السابقة والراهنة. بذلك يتم تحديد العديد من السيناريوهات التي تساعد القيادة على اتخاذ القرار السليم، للتصدي للتهديدات و المخاطر المستقبلية.;Consiste en l’ensemble des informations recueillies, qui permettraient de faire des prédictions, en se basant sur des situations précédentes et présentes. Il permettrait ainsi, la détermination de plusieurs scénarios qui peuvent porter une aide au commandement pour la prise de la décision appropriée afin de parer aux dangers et menaces futurs.;سطع;20
57;55;الاستعلام الاستراتيجي;Renseignement stratégique;هو أعلى مستويات الاستعلام، يضم كافة المعلومات المستقاة حول خصم و/أو عدو، والذي يشمل رقعة جغرافية شاسعة. يتماشى والاحتياجات الوطنية من حيث الاستعلام المتعلقة بميادين متعددة و منها السياسية والدبلوماسية والعسكرية والاقتصادية والسوسيولوجيا...إلخ. تساهم الاستعلامات المتحصل عليها في إعداد سياسة واستراتيجية الدفاع والأمن، على الصعيدين الداخلي والخارجي.;C’est le niveau le plus élevé du renseignement, regroupant l’ensemble des informations recueillies sur un adversaire et/ou un ennemi et englobant une vaste étendue géographique. Il est en adéquation avec les besoins nationaux en matière de renseignement se rapportant à des domaines aussi variés tels que : la politique, la diplomatie, le militaire, l’économique et le sociologique…etc. Les renseignements recueillis concourent à l’élaboration de la politique et de la stratégie de défense et de sécurité, aussi bien sur la scène nationale qu’internationale.;سطع;20
58;56;الاستعلام الأمني;Renseignement de Sécurité;هو بمثابة إجراءات وقائية نشطة، ترتكز على  جمع  المعلومات الموجهة للتعرف على طبيعة ونوايا الأطراف الذين بإمكانهم المساس بالأمن الوطني كالأعمال الإرهابية والتخريبية والإجرامية المنظمة أو التجسسية،...إلخ.  كما يدعم أنشطة  مكافحة التدخل الأجنبي لضمان سلامة  المؤسسات والمواقع الإستراتيجية   والنقاط الحساسة وكل الموارد الحيوية للأمة.;Est assimilable à une sorte de prévention active s’appuyant sur le recueil de renseignements orientés vers l’identification de la nature et des intentions d’entités pouvant toucher la sécurité nationale, à l’instar des actes de terrorisme, de sabotage, de crime organisé ou d’espionnage, etc. Il renforce les activités de contre-ingérence qui garantissent l’intégrité des institutions, des sites stratégiques, des points sensibles et autres ressources vitales de la nation.;سطع;20
59;57;استعلام الإنذار;Renseignement d’Alerte;يتمثل في إخطار القيادة، في أقرب الآجال، حول احتمال حدوث عمل وشيك أو تغيير في الموقف يمكن أن يؤثر على مصالح أو  أنشطة أو وسائل المجتمع و/أو الدولة. إن الهدف المرجو هو اتخاذ تدابير وقائية مناسبة و/أو تحديد رد فعل ملائم في آجال تضمن المحافظة على نفس هذه المصالح.;Consiste à prévenir le commandement, dans les délais les plus courts, de la probabilité d’une action imminente ou d’un changement de situation susceptible d’affecter les intérêts, les activités ou les moyens de la communauté nationale et/ou de l’Etat. L’objectif recherché est de prendre les mesures préventives appropriées et/ou de définir la réaction idoine,  dans les délais garantissant la sauvegarde de ces mêmes intérêts.;سطع;20
60;58;الاستعلام البشري;Renseignement humain;صنف من أصناف الاستعلام، يتعلق بالمعلومات المستقاة من مصدر بشري . يشمل أساسا الملاحظة المباشرة من طرف إطارات الاستعلام والنتائج المتحصل عليها من طرف الأعوان (العملاء) وعلاقات الثقة واستجواب الأسرى و السجناء.;Une des classifications du renseignement, se rapportant aux informations collectées à partir d’une source humaine. Il englobe essentiellement : l’observation directe faite par les cadres du renseignement, les résultats obtenus par les Agents, les relations de confiance et l’audition des prisonniers et détenus.;سطع;20
61;59;الإستعلام التقني;Renseignement Technique;يتمثل في تحليل المعلومات المستقاة من الاتصالات السلكية و اللاسلكية الملتقطة بواسطة وسائل تقنية خاصة. يرتبط هذا الاستعلام غالبا بالمستويين الاستراتيجي و العملياتي.;Consiste à analyser les renseignements recueillis à partir des transmissions filaires et non-filaires récoltées par des moyens techniques spécifiques. Ce renseignement est généralement lié aux niveaux stratégique et/ou opératif.;إشارة و حرب إلكترونية;20
62;60;الاستعلام الجغرافي;Renseignement Géographique;يعتبر عنصر من العناصر المكونة للاستعلام الاستراتيجي والذي يشمل الجغرافيا الفيزيائية والبشرية والسياسية والاجتماعية والاقتصادية والعلمية والتكنولوجية، الضرورية لصياغة الإستراتيجية العسكرية.;Est considéré comme un des éléments constitutifs du renseignement stratégique. Il englobe   les géographies : physique, humaine, politique, sociale, économique, scientifique et technologique,  nécessaires  à l’élaboration de la stratégie militaire.;سطع;20
63;61;استعلام الحال;Renseignement de Situation;يتعلق بمعلومات تعالج أحداث جارية وتداعياته على الأمن الوطني، بتحليل المعطيات السياسية، الاقتصادية، الإجتماعية، العسكرية ،....الخ، من أجل تقدير سليم للموقف و تطوراته. يحدد الفاعلين ونوايا الأطراف المتصارعة، ويعطي قراءة مستقبلية حول ما قد تؤول إليه الأوضاع. خلافا للاستعلام الوثائقي، فإن مدة صلاحيته محدودة.;consiste en des renseignements qui traitent des événements en cours et leurs répercussions sur la sécurité nationale et ce,  par l’analyse des données politiques, économiques, sociales, militaires….etc, dans le but de faire une appréciation correcte de la situation et son évolution. Il identifie les acteurs et les intentions des parties en conflit, et donne une lecture de l’évolution  des situations au futur. Au contrario du Renseignement de Documentation, il s’agit d’un Renseignement dont la durée de validité est limitée.;سطع;20
64;62;الاستعلام العسكري;Renseignement Militaire;هو مجموع  المعلومات التي تتعلق بالقوات العسكرية المعادية وتشمل: التنظيم وقوام المعركة والمعدات والإسناد اللوجستي والتسليح وكذا معنويات الأفراد.  يتمثل هدفه إما في وضع منظومة دفاعية والإعداد للرد و/أو للهجوم أو التحضير للهجوم، حسب الإمكانيات و القدرات الحقيقية للعدو.;C’est l’ensemble des renseignements touchant les forces armées adverses. Il  comprend : l’organisation, l’ordre de bataille, les équipements  et la logistique, l’armement  ainsi que le moral des troupes. Son objectif consiste soit en la mise en place d’un système de défense, la préparation d’une riposte et/ou d’une attaque, au prorata  des capacités réelles de l’ennemi.;سطع;20
65;63;الاستعلام المضاد;Contre-renseignement;مجموعة من الإجراءات المضادة التي تهدف من ناحية، إلى معرفة نوايا و توجهات  مصالح  الاستعلام  للخصوم  أو  الأعداء، و  من ناحية أخرى  معالجة  و/أو  إبطال مفعول كل الوسائل و الأساليب المستعملة  من طرفهم.;Ensemble de contre-mesures visant d’une part à connaitre les intentions et les orientations des services de renseignement adverses et/ou ennemis, et d’autre part à en traiter et/ou à en neutraliser les moyens et les méthodes mis en œuvre.;سطع;20
66;64;الاستعلام العلمي;Le Renseignement Scientifique;هو مجمل الإجراءات المتخذة من طرف هيئات مختصة للحصول على المعلومات عن الابتكارات العلمية الحديثة والتكنولوجيات التي تساهم في رفع القدرات العلمية للدولة وخاصة العسكرية منها   بغرض تحديد القدرات العلمية لدولة ما عدوا محتملا كان أم صديق;C’est l’ensemble des mesures prises par des structures spécialisées dans le but d’obtenir des informations sur les inventions scientifiques et technologiques modernes qui contribuent au rehaussement des capacités (scientifiques) d’un Etat, particulièrement ses  capacités militaires, en vue de déterminer les capacités scientifiques  d’un Etat qu’il soit ami ou ennemi éventuel.;سطع;20
67;65;الاستعلام الوثائقي;Renseignement Documentaire;يعتبر  بمثابة  استعلام  عام  غير  متخصص، منبثق  من  مصادر وثائقية مرجعية، تتناول  عدة  جوانب  (سياسية، عسكرية، علمية، تقنية...الخ).  يهدف إلى تكوين لدى القيادة قواعد بيانية (بطاقيات) مرجعية. يخصص هذا النوع من الاستعلام  لتخطيط و إعداد وإدارة العمليات و كذا تسيير الأزمات والنزاعات. وقد يستعمل أيضا كوسيلة لتقدير وتتبع الأحداث التي تجري على إقليم معين.;Est considéré comme étant un Renseignement d’ordre général, non spécialisé, extrait à partir de sources documentaires de référence, traitant de plusieurs volets (politique, militaire, scientifique, technique…etc.) en vue de la constitution auprès du commandement, de bases de données (fiches) de référence. Ce type de Renseignement est destiné pour : - la planification, la préparation et  la conduite des opérations, en sus de la gestion des crises et des conflits. Il est également utilisé  dans l’appréciation et le suivi des événements pouvant se dérouler sur un territoire donné.;سطع;20
68;66;الاستعلام بالاستهداف;Renseignement de Ciblage;يتمثل في المعلومات التي تم جمعها حول هدف أو مجموعة من الأهداف التي تم اختيارها مسبقا من طرف القيادة، بغرض المعرفة العميقة لهذا الغرض بغية كشف نقاط قوته و ضعفه من أجل استغلالها خلال مرحلة لاحقة.;Il s’agit d'informations qui ont été recueillies sur un ou plusieurs objectifs, présélectionnés par le commandement, permettant la connaissance approfondie de la cible, en vue d’en déceler les points forts ainsi que  les faiblesses, pour une exploitation lors d’une phase ultérieure.;سطع;20
69;67;الاستعلام ذو أهمية عسكرية;Renseignement d’Intérêt Militaire « RIM »;هو الاستعلام الذي له تأثيرات على وقاية المنظومات الدفاعية المعدة لحماية المصالح الحيوية للأمة.  للتصدي للنشاط المعادي، يسعي هذا الاستعلام للقضاء على قدرات القوى الحية للعدو وإرادتهم ووسائلهم وكذا خلق نقاط ضعف في أوساطهم. .بإمكان القوى الحية للعدو أن تكون ذات طبيعة نظامية، أو غير نظامية، عسكرية، شبه عسكرية أو غيرها.;Renseignement qui a des incidences sur la protection des dispositifs de défense mis en place pour la sauvegarde des intérêts vitaux de la nation. Pour contrecarrer l’action de l’ennemi, le RIM s’attèlera à annihiler toutes les capacités des forces vives de celui-ci, leur volonté et leurs moyens et créer, par la même, des vulnérabilités chez ce dernier. Les forces vives de l’ennemi peuvent être de nature étatique ou non, militaire, paramilitaire ou non.;سطع;20
70;68;الاستفزاز العسكري;Provocation militaire;"هو الاستخدام المبرمج والمنظم المحدود من حيث المستوى للقوة العسكرية من قبل الدولة أو من طرف احد الفاعلين السياسيين من اجل تصعيد الموقف السياسي-العسكري وإبقاء الطرف الآخر متوترا واختبار قدراته على القيام بالأعمال الردية وإضفاء طابع الشرعية على التدخل في شؤونه الداخلية واختلاق الحادث العسكري الذي يتخذ كذريعة للبدء في الحرب وغير ذلك. للاستفزازات العسكرية عدة أشكال: - الهجوم المسلح على الوحدات الفرعية لحرس الحدود؛ - اختراق حدود الدولة من قبل المفارز المسلحة بغية الاستيلاء على أهم الأغراض واحتلال المناطق العمرانية وبعض الأقاليم؛ - توغل السفن الحربية في المياه الإقليمية؛ - قصف الطائرات والحوامات للبواخر التجارية وقوارب الصيد أو محاولة الاستيلاء عليها أو إغراقها؛ - القصف المدفعي لبعض الأغراض الحدودية المحاذية؛ - الغارات المسلحة أو تسلل الوحدات الفرعية الخاصة بالتخريب؛ - الغارات الجوية للطائرات والحوامات على الأقاليم الحدودية وقصف الأفراد والأغراض...الخ. في حالة إثبات الافتعال والنية المقصودة لمثل هذه الأعمال فإن الاستفزاز العسكري قد يصنف كعدوان ويعد جريمة دولية.";"Emploi programmé et organisé, limité par l’utilisation de la force militaire par l'État ou par l’un des acteurs politiques, pour l’escalade de la situation afin d’escalader le contexte politico-militaire et maintenir l’autre partie sous tension, tester sa capacité de  riposte, légitimer l’intervention dans sa politique intérieure et créer un incident militaire qui servira de prétexte pour déclencher la guerre. La provocation militaire peut prendre plusieurs formes: 
-Attaque armée contre les unités élémentaires gardes-frontières;
-Violation des frontières de l’Etat par des détachements armés dans le but de s’emparer d’objectifs importants ;
- Occupation des agglomérations ou territoires ;
-Incursion des bâtiments de guerre dans les eaux territoriales ;
-Attaque des navires commerce et des bateaux de pêche par des aéronefs, ou tenter de s’emparer des navires ou les faire couler ;
-Pilonnage d’objectifs près des frontières;
-Raids armés ou infiltration d’unités élémentaires des forces spéciales ;
-Raids aériens sur les frontières.
Si de tels actes d’hostilité s’avèrent intentionnels, la provocation militaire est alors considérée comme une agression et crime international.";إستراتيجية;20
71;69;الاستقرار الإستراتيجي;Stabilité stratégique;"هو حالة العلاقات الدولية بين فاعلي السياسة الدولية التي تتميز بغياب التهديدات المتبادلة فيما بينها، التي تهدد أمن الأطراف والعمل على المحافظة على العلاقات الموجودة بينهما وترسيخها لاحقا.
يتصف الاستقرار الإستراتيجي بالتطور غير المتأزم في العلاقات الدولية واستقرار تناسب القوى في كل مجالات التعاون (السياسي، الاقتصادي والعسكري وغيره من المجالات).";"Etat des relations, entre les acteurs de la politique internationale, caractérisé par l'absence de menaces mutuelles pouvant  toucher à la sécurité des Etats, ainsi que les efforts déployés pour consolider les relations existantes.
La stabilité stratégique se caractérise par le développement dans les relations internationales en l’absence de toute forme de crise et par la stabilité des rapports de forces dans tous les domaines de coopération (politiques, économiques, militaires et autres domaines).";إستراتيجية;20
72;70;الاستقرار الإستراتيجي العسكري;Stabilité stratégique militaire;الاستقرار الاستراتيجي العسكري هو حالة العلاقات العسكرية بين الدول القوية الكبرى والتي تتميز بالحفاظ على مستويات متبادلة ومقبولة للأسلحة والقوات المسلحة وللنشاطات العسكرية المدعومة بمنظومة النصوص القانونية الدولية. قد يعالج الاستقرار الاستراتيجي على المستوى الجهوي أو العالمي.;Etat des relations militaires entre les grandes puissances, caractérisé par le maintien d’un niveau mutuellement acceptable, d'armement, de volume de forces armées et d’activités militaires, conforté par une panoplie de textes juridiques internationaux. La stabilité stratégique peut être traitée au niveau régional ou mondial.;إستراتيجية;20
73;71;الاستقرار السياسي العسكري;Stabilité politico-militaire;حالة العلاقات بين الشعوب والدول وبين تكتلاتهما والتي تتميز بمتانة ونجاعة الموقف السياسي العسكري في العالم أو في المنطقة.إن تغير الإمكانيات السياسية والاقتصادية والمعنوية-السيكولوجية والعسكرية  في ظل الاستقرار السياسي العسكري للفاعلين في العلاقات الدولية لا يؤدي إلى تصاعد مستوى التهديدات العسكرية أو إلى انخفاضها. أساس الاستقرار السياسي العسكري هو الاستقرار العسكري الاستراتيجي.;Nature des relations entre peuples, États et blocs, caractérisées par la solidité et l’efficience du contexte politico-militaire mondial ou régional. L’évolution des capacités économiques, politiques, morales et psychologiques et militaires à l’ombre de la stabilité politique et militaire des acteurs dans les relations internationales n’aboutit pas systématiquement à l’accroissement ou à la diminution du niveau des menaces militaires. La stabilité stratégique militaire est à la base de la stabilité  politico-militaire.;إستراتيجية;20
74;72;استكمال القوات المسلحة;Recomplètement des forces armées;"هي المنظومة المعتمدة على مستوى الدولة لتأمين احتياجات القوات المسلحة والقوات الأخرى من الأفراد، الأسلحة، العتاد الحربي والوسائل المادية الأخرى في وقت السلم وخلال إجراء الأعمال الحربية. يعتبر استكمال القوات المسلحة من أهم عناصر البناء العسكري للدولة. بالمفهوم الضيق، استكمال القوات المسلحة يعني استكمال الوحدات (القطع البحرية، المؤسسات العسكرية، مؤسسات التعليم العسكري) بالأفراد حتى المستوى المحدد في جدول التعداد والعدة وإعداد الاحتياطات من الأفراد المؤهلين  لتأمين فتح وانتشار القوات مع بداية الحرب. 
من أهم مهام استكمال القوات المسلحة خلال الحرب: تعويض الخسائر بصفة مستمرة ومنتظمة وتأمين استكمال التشكيلات الجديدة بالموارد البشرية.";"Système adopté au niveau de l'Etat pour subvenir aux besoins des forces armées et autres forces, en personnel, armement, matériel militaire et autres moyens matériels en temps de paix et durant la conduite de la guerre. 
Le recomplètement des forces armées est          considéré comme un des éléments les plus importants de l’édification militaire de l’Etat. 
Au  sens étroit, il signifie la dotation des unités (unités navales, structures militaires, établissements d’enseignement militaire) en personnel  jusqu’au niveau prescrit par le Tableau des Effectifs et de Dotation et la constitution des réserves en personnels qualifiés pour assurer le déploiement des forces  à l’entame de la guerre.
Durant la guerre, les missions les plus importantes du recomplètement  des forces armées, consistent à remplacer les pertes d’une manière organisée et d’assurer le complètement des nouvelles formations de combat, en ressources humaines.";فن عملياتي;20
75;73;الأسس العامة للعلم العسكري;Principes généraux de la science militaire;"الأسس العامة (النظرية العامة) للعلم العسكري: 
تضم القضايا المنطقية-المنهجية والقضايا النظرية العامة للعلم العسكري: 
- مادة البحث؛ 
- البنية (الهيكل)؛ 
- المهام؛ 
- العلاقات الداخلية والخارجية للعلم العسكري؛
- تعريف منظومة أصناف وطرق العلم العسكري؛
- دراسة قوانين وسنن الصراع المسلح وبناء القوات المسلحة والظواهر والتحولات الأخرى للمسالة العسكرية باعتبارها مظاهر خاصة للقوانين العامة للحرب.";"Fondements généraux (théorie générale) de la science militaire, englobant les problématiques logiques, la méthodologie et les problématiques de la  théorie générale de la science militaire :
- Matière de recherche ;
- Structure ;
- Missions (tâches) ;
- Relations endogènes et exogènes;
- Définition de l’ensemble des catégories et des  procédés;
- Étude des lois et règles des conflits armés et de la construction des forces, ainsi que les phénomènes et les transformations des questions militaires, comme étant des représentations spécifiques des lois générales de la guerre.";إستراتيجية;20
76;74;الأسطول الحربي;Flotte de Guerre;تشكيلة كبرى من القوات المسلحة خاصة بتنفيذ المهام الإستراتيجية العملياتية والمهام العملياتية في المنطقة العملياتية المحددة له في مسرح الأعمال الحربية البحري. يتكون الأسطول من الغواصات، سفن السطح، السفن المضادة للغواصات، سفن الإبرار، قوات الطيران البحري، قوات الدفاع الساحلي، وحدات وهياكل التأمين/الإسناد (قواعد، موانئ، ورشات... ).;Grande formation des forces armées destinée à l’exécution des missions de niveaux stratégiques – opératives et opératives dans la zone d’opération qui lui a été définie dans le théâtre maritime des actions de guerre. La flotte est composée de sous-marins, bâtiments de surface, bâtiments de lutte anti sous-marine, bâtiments de débarquement, forces de l’aéronavale, Unités de défense côtière, unités et structures du soutien (bases navales, ports, ateliers….).;قوات بحرية;20
77;75;الأسلحة الإستراتيجية;Armes stratégique;"هي مختلف أنواع الأسلحة، منظومات التوجيه والمعلومات ووسائل التأمين، المخصصة لتنفيذ المهام الإستراتيجية. تنقسم الأسلحة الإستراتيجية إلى: 
• أسلحة إستراتيجية هجومية (المركبات الصاروخية الأرضية ذات الصواريخ البالستية العابرة للقارات، صواريخ متوسطة المدى، غواصات ومقنبلات إستراتيجية) ؛
• أسلحة إستراتيجية دفاعية (مركبات صواريخ للدفاع المضاد للصواريخ، مركبات صواريخ للدفاع الجوي والدفاع المضاد للصواريخ الفضائية).
• منظومات المعلومات والتوجيه: 
- منظومة السيطرة القتالية والاتصال؛ 
- منظومات معلوماتية – حسابية؛ 
- منظومات الإنذار بالهجوم الصاروخي ومنظومات مراقبة الفضاء الجوي.
 تمثل الأسلحة النووية وأسلحة الدقة العالية، والصواريخ البالستية بكافة أنواعها أساس الأسلحة الإستراتيجية الحديثة.";"Différents types d'armes, systèmes de guidage et d'informations et les moyens de soutien, destinés pour l’accomplissement des missions  stratégiques. 
Les armes stratégiques se subdivisent en :
• Armes stratégiques offensives (complexes de missiles terrestres avec des missiles balistiques intercontinentaux, missiles à moyenne portée, bombardiers et sous-marins stratégiques);
• Armes stratégiques défensives (complexes missiles de défense anti missiles, complexes missiles de défense aérienne et missiles de défense anti missiles cosmiques).
•Systèmes d'information et de guidage :
-Systèmes de conduite des actions de combat et de communication; 
-systèmes informatiques et de calculs ;
-systèmes d’alerte des attaques  missiles et systèmes de contrôle aérospatial.
Les armes nucléaires, les armes à haute précision et les missiles balistiques tous types confondus représentent la base des armes stratégiques modernes.";إستراتيجية;20
78;76;الأسلحة البيولوجية;Armes biologiques;"أحد أنواع أسلحة التدمير الشامل ويطلق عليها أيضا الأسلحة الحيوية، أساسها الجراثيم أو سمومها المسبّبة للأمراض المعدية الخطيرة. تعتبر الأسلحة البيولوجية أقدم استخداما من الأسلحة الكيميائية والنووية.
تستخدم الأسلحة البيولوجية لإيقاف القوات عن طريق إبادة القوة البشرية وإخراجها من القتال، شلّ الإرادة على القتال، إصابة الحيوانات والمزروعات للتأثير على الاقتصاد، إصابة المدنيين بنشر الأوبئة للتأثير على المجهود الحربي وإشغال الأركانات بأعمال إزالة آثار هذه الأسلحة.";"Type d'armes de destruction massive (ADM), à base de bactéries et de toxines, provoquant des pathologies contagieuses graves. L’emploi des armes biologiques est considéré comme étant  plus ancien que ceux des armes nucléaires et chimiques.
Elles sont employées pour stopper les forces, par:
-L’anéantissement de ses forces et leur mise hors état du combat;
- L’annihilation de la volonté de combattre;
- Contamination de la faune et la flore pour affaiblir l'économie;
- Contamination des populations par la propagation d’épidémies dans le but  d’impacter(affecter) l’effort de guerre et d’occuper les états-majors de  dans les actions d’élimination des effets de ces armes.";أتش;20
79;77;أسلحة التدمير الشامل;Armes de destruction massive ADM ;هي الأسلحة التي تمتلك قدرات تدميرية هائلة  وتشمل الأسلحة النووية والكيميائية والبيولوجية وأي سلاح يظهر في المستقبل يمتلك قدرات مماثلة للأسلحة المذكورة.;Armes ayant des capacités destructives extra ordinaires, englobant les armes nucléaires, chimiques et biologiques et toute autre arme du future possédant des capacités destructives similaires.;أتش;20
80;78;الأسلحة الكيميائية;Armes chimiques;هي الأسلحة التي تنتج على أساس المواد السامة لإصابة الأفراد والكائنات الحية. وهي عبارة عن مركبات كيميائية سامة، تتميّز بقدرتها على إصابة الأفراد بدنياً ونفسيا سواء كان تواجدهم في العراء أو في السواتر المختلفة أو في المعدات القتالية إلاّ المحكمة منها. وكذا باقي الأحياء في مساحات واسعة. تؤثر المواد السامة على جسم الإنسان بالأبخرة والغازات عند استنشاقها أو سقوطها على الجلد، الجروح أو عند عبور منطقة ملوثة أو ملامسة الأسلحة والمعدات الملوثة بقطراتها أو عند تناول الأغذية والمياه الملوثة بها.;"Armes produites sur la base de substances toxiques, afin d’infecter les personnels  et toute forme de vie, elles se présentent sous forme de complexes chimiques toxiques capables de contaminer physiquement et psychiquement les personnels, qu’ils soient abrités, à l’air libre ou embarqués dans des engins de combat, exception faite des engins spécialement équipés. Les substances toxiques contaminent le corps humain, par les vapeurs et les gaz inspirés (inhalés)ou au contact direct avec la peau, notamment les blessures, ainsi que lors de la traversée d’une zone contaminée ; au toucher des armes et du matériel de combat contaminés et la consommation de repas et de l’eau infectés.";أتش;20
81;79;الأسلحة النووية;Armes nucléaires;هي الأسلحة التي تعتمد تأثيراتها على استغلال الطاقة المتولدة من الانفجار النووي. الهدف من استخدامها إبادة القوى البشرية وتدمير العتاد القتالي والمنشآت وشلّ الإرادة على المقاومة وبالتالي الاستسلام.;Armes dont les effets se basent  essentiellement sur l’exploitation de l’énergie dégagée par la fission    (l’explosion) nucléaire. Ces armes sont destinées pour la destruction des personnels, des matériels de combat et des infrastructures, ainsi que pour paralyser toute volonté de résistance de l’ennemi, afin de le contraindre à la reddition.;أتش;20
82;80;الإشاعة;La Rumeur;هي كل خبر يحتمل الصدق، مجهول المصدر، متداول بين الأفراد خال من أي دليل حول صحته من عدمه. قد تتغير تفاصيله من فرد لآخر.;C’est toute information vraisemblable, de source indéterminée,  échangée entre personnes, sans preuve de sa fiabilité ni de son indigence. Ses détails peuvent varier d’une personne à une autre.;سطع;20
83;81;أشكال الأعمال الحربية;Formes des actions de guerre;تعتبر من أصناف الفن العسكري المحددة لمستويات، بنية، بناء وارتباط مختلف عناصر الاستخدام الإستراتيجي، العملياتي والتكتيكي للقوات المسلحة وهي متعلقة بمحتوى الأعمال العسكرية (القتالية) الموجهة لتنفيذ مهام عسكرية (قتالية) معينة. من الأشكال الرئيسية للأعمال العسكرية (القتالية) نذكر: العمليات على اختلاف مستوياتها، المعارك والأعمال القتالية المنتظمة والضربات.;Considérée comme catégories de l'art de la guerre qui définit les niveaux, la structure, la configuration et le lien entre les différents éléments de l’emploi stratégique, opérationnel et tactique des forces armées. Les formes des actions de guerre dépendent de leur contenu lors de l’accomplissement des missions (de combat) assignées. Parmi les formes principales des actions de guerre : les opérations à différents niveaux, les batailles, les actions de combat systématiques et les frappes.;إستراتيجية;20
84;82;إصلاح القوات المسلحة;Réforme des forces armées;هو تحول عميق من حيث المحتوى، سريع نسبيا من حيث الوتيرة للقوات المسلحة والقوات الأخرى، موجه لتكييفها مع: متغيرات الموقف الدولي والداخلي، الإمكانيات الاقتصادية، العسكرية-التقنية وإمكانيات الدولة الأخرى. يعتبر إصلاح القوات المسلحة جزءا من مجموع الإصلاحات العسكرية للدولة ويتم بقرار من السلطات العليا ويمس كل جوانب النشاطات الحيوية للقوات المسلحة وينتظر منه إحداث تغييرات نوعية في: استكمالها، تعدادها، بنيتها التنظيمية-العضوية وتشكيلها العملياتي الإستراتيجي، منظومة السيطرة على القوات، التجهيز التقني للقوات المسلحة، تطوير العلم العسكري وفن الحرب، تنظيم تعليم وتدريب الأفراد وتغييرات أخرى.;Transformation des forces armées et autres forces, profonde dans le contenu, d’une cadence relativement rapide, induite dans le but de les adapter aux évolutions des contextes internationale et intérieure, aux potentialités économiques, techniques militaires et autres de l’Etat. La réforme des forces armées fait partie de la réforme militaire de l'État, laquelle s’effectue sur décision des hautes autorités et concerne tous les aspects d’activités vitales des forces armées, et dont les effets attendus sont: des changements qualitatifs en matière de recomplètement des forces armées, notamment leur volume, structure organique, dispositif opérationnel stratégique, système de commandement, équipements  techniques, ainsi que le développement de la science   militaire et de l'art de la guerre, l’organisation de l’enseignement et de l’instruction des personnels et autres.;إستراتيجية;20
85;83;الإصلاحات العسكرية;Réformes militaires;"عبارة عن التحول العميق من حيث المحتوى بوتيرة سريعة نسبيا للمنظومة العسكرية للدولة وتتم تحت إشراف الهيئات العليا للدولة بغرض إحداث تغييرات على مستوى قوتها العسكرية.
الإصلاحات العسكرية هي وضع تفرضه تغيرات الموقف الداخلي والدولي، الأهداف والمهام السياسية الجديدة للدولة في المجال العسكري بالإضافة إلى ظهور منظومات تسليح وطرق جديدة لكيفية استخدامها.
تطبق الإصلاحات العسكرية بهدف الرفع من القدرة القتالية ودرجة جاهزية القوات المسلحة وتستمد شرعيتها من قوانين الدولة، العقيدة العسكرية، النظم العسكرية والمواثيق الأخرى.
تشمل الإصلاحات العسكرية عددا هاما من البرامج  أهمها:
• إعادة بناء بنية وآليات السياسة العسكرية والمنظومة الدفاعية للدولة؛
• تغيير الأسس القانونية لتقويم المجال العسكري؛
• تحسين القدرات الإنتاجية والتعبوية للصناعة والتحويل العقلاني للمجمع الصناعي العسكري؛
• وضع نظام جديد لتأمين الاستعداد التعبوي للاقتصاد وخلق احتياطات تعبوية؛
• اعتماد مبادئ جديدة في مجال استكمال وتامين القوات المسلحة بالوسائل المادية الفنية.";"Transformations de l’organisation militaire de l’Etat, profondes dans le contenu, d’une cadence relativement rapide, induites sous la supervision des instances suprêmes de l’Etat, dans le but  de créer des changements au sein de la force militaire. Les réformes militaires sont une exigence des évolutions des contextes internationale et intérieure, des missions nouvelles et  des objectifs politiques nouveaux de l’Etat, dans le domaine militaire, ainsi que de l'apparition de nouveaux systèmes d’armes et de nouvelles modalités d’emploi.
Les réformes militaires sont effectuées dans le but d’accroitre les capacités de combat et le degré de disponibilité des forces armées, Leur légitimité découle des lois de l’Etat, de la doctrine militaire, des règlements militaires et autres textes.
Les réformes militaires comprennent un nombre important de programmes, notamment :
• la réédification de la structure et des mécanismes de la politique militaire et du système de défense de l'État ;
• la modification des bases juridiques de l’évaluation du domaine militaire ;
• l’amélioration  des capacités productives et de mobilisation de l’industrie et la conversion rationnelle du complexe militaro-industriel ;
• mise en place d’un nouveau système pour assurer la prédisposition à la mobilisation du potentiel économique, et création de réserves stratégiques ;
• L'adoption de nouveaux principes dans le domaine du recomplètement et du soutien des forces armées avec les moyens techniques logistiques.";إستراتيجية;20
